video_id,video_title,video_one_level_classification,video_two_level_classification_list,video_tag_list,director_list,actor_list,country,language,release_date,storage_time,video_time,score,is_paid,package_id,is_single,is_trailers,supplier,introduction,number_of_plays_in_30_days,number_of_views_within_30_days,number_of_plays_in_14_days,number_of_views_within_14_days,number_of_plays_in_7_days,number_of_views_within_7_days,number_of_plays_in_3_days,number_of_views_within_3_days,abs_of_number_of_days_between_storage_and_current,number_of_times_purchased_within_30_days,number_of_times_purchased_within_14_days,number_of_times_purchased_within_7_days,number_of_times_purchased_within_3_days,number_of_times_purchased_total
1426035.0,夏季养生：酸甜食物为宜,健康,[综合],[四季],"","","","",2015-05-28 00:00:00,2015-05-28 14:30:16,275.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,夏季养生：酸甜食物为宜。,"","","","","","","","",1792,"","","","",""
1447635.0,绝密窃听：美军海狼级潜艇生插他国通讯电缆,军事,[大陆],[大陆],"","",大陆,"",2015-06-08 00:00:00,2015-06-08 11:30:18,234.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,"","","","","","","","","",1781,"","","","",""
1496235.0,穴位按摩解决便秘 健康方法清理肠道,健康,[综合],[按摩],"","","","",2015-07-02 00:00:00,2015-07-02 17:30:38,115.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,穴位按摩解决便秘，健康方法清理肠道。,"","","","","","","","",1757,"","","","",""
1556835.0,【演奏】2013年冬番总汇22曲【乐队】,动漫,[综合],"[特别版, ACG, 18岁以上, 日本, 日漫]","","",日本,"",2013-01-01 00:00:00,2015-07-29 01:22:43,NaN,NaN,0.0,NaN,0.0,1.0,"","","","","","","","","","",1730,"","","","",""
1561635.0,平野绫演唱OPED集 Part2,动漫,[综合],"[特别版, 日语, ACG, 日本, 日漫]","","",日本,日语,2013-10-24 00:00:00,2015-07-29 01:25:49,NaN,NaN,0.0,NaN,0.0,1.0,"",sm22103582,"","","","","","","","",1730,"","","","",""
1562835.0,【杏ノ助】ドーナツホール,动漫,[原创],"[特别版, 日语, ACG, 日本, 同人, 日漫]","","",日本,日语,2013-12-20 00:00:00,2015-07-29 01:26:23,NaN,NaN,0.0,NaN,0.0,1.0,"",sm22484201,"","","","","","","","",1730,"","","","",""
1563435.0,【赤ティン】about me,动漫,[原创],"[特别版, 日语, ACG, 18岁以上, 日本, 同人, 日漫]","","",日本,日语,2014-01-16 00:00:00,2015-07-29 01:26:44,NaN,NaN,0.0,NaN,0.0,1.0,"",sm23026644,"","","","","","","","",1730,"","","","",""
1564035.0,【钢琴】ココロキズ【うぃんぐ】,动漫,[原创],"[特别版, 日语, ACG, 日本, 同人, 日漫]","","",日本,日语,2014-01-16 00:00:00,2015-07-29 01:27:05,NaN,NaN,0.0,NaN,0.0,1.0,"",sm23708381,"","","","","","","","",1730,"","","","",""
1565235.0,汉字英雄第2季,综艺,[综合],"[益智, 人物, 国语, 动画, 挑战, 文化, 娱乐, 河南卫视, 竞技, 竞赛, 场景, 比赛, 经典, 热血, 日本, 知识问答]",[马东],[马东],内地,国语,2014-03-14 00:00:00,2015-07-29 01:30:21,5131.0,7.8,1.0,100201.0,0.0,0.0,爱奇艺,《汉字英雄》是由河南卫视和爱奇艺联合打造的一档大型汉字文化节目。第二季依然延用标志性的 “汉字十三宫”，参与度和趣味性升级，由“会写汉字”变为“用好”汉字！初赛阶段，每场有一名“汉字秀才”胜出，10名晋级复赛的选手将面临更加有趣的第二阶段比赛，胜出者进入决赛，角逐这一季的“汉字状元”！,"","","","","","","","",1730,"","","","",""
1565835.0,专家：日对俄追加制裁 为保持美日紧密军事同盟,军事,[综合],[邻边],"","","","",2014-08-07 00:00:00,2015-07-29 01:36:07,97.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,更多高清拉风武器视频请关注爱奇艺军事，点击客户端下“更多”或直接访问爱奇艺网页版军事频道，也可关注爱奇艺军事官方微博，微博没有广告哦！,"","","","","","","","",1730,"","","","",""
